Name,Sector,Date_x,Transaction Name_x,Number of Investors_x,Money Raised_x,Lead Investors_x,Year_x,Date_y,Transaction Name_y,Number of Investors_y,Money Raised_y,Lead Investors_y,Year_y,Total Products Active,Monthly Downloads,Monthly Visits,Monthly Visits Growth
LogiNext,AI,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,38,1050,719791,0.7647
LogiNext,AI,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,38,1050,719791,0.7647
LogiNext,AI,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,38,1050,719791,0.7647
LogiNext,AI,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,38,1050,719791,0.7647
LogiNext,AI,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,38,1050,719791,0.7647
LogiNext,AI,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,38,1050,719791,0.7647
LogiNext,AI,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,2020-01-24 00:00:00,Series B - LogiNext,2.0,3120000000.0,"Steadview Capital, Tiger Global Management",2020,38,1050,719791,0.7647
LogiNext,AI,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,2015-09-22 00:00:00,Series A - LogiNext,1.0,800000000.0,Paytm,2015,38,1050,719791,0.7647
LogiNext,AI,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,2015-04-07 00:00:00,Seed Round - LogiNext,15.0,48000000.0,"Gennext Innovation Hub, Indian Angel Network, Sanjay Mehta",2015,38,1050,719791,0.7647
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2018-11-19 00:00:00,Series B - Cropin,2.0,640000000.0,"Bill & Melinda Gates Foundation, Chiratae Ventures",2018,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2017-09-25 00:00:00,Series A - Cropin,3.0,96000000.0,BEENEXT,2017,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2016-08-30 00:00:00,Series A - Cropin,1.0,160000000.0,Sophia Investment ApS,2016,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2015-08-21 00:00:00,Seed Round - Cropin,2.0,24472000.0,,2015,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2014-04-01 00:00:00,Seed Round - Cropin,2.0,41600000.0,Invested Development,2014,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2014-02-26 00:00:00,Seed Round - Cropin,2.0,23208000.0,,2014,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2013-10-24 00:00:00,Seed Round - Cropin,1.0,4888000.0,,2013,16,0,12328,2.14
CropIn,AI,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,2013-04-01 00:00:00,Pre Seed Round - Cropin,1.0,16000000.0,,2013,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2022-12-09 00:00:00,Series D - Cropin,5.0,1100000000.0,"Google, JSR",2022,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2018-11-19 00:00:00,Series B - Cropin,2.0,640000000.0,"Bill & Melinda Gates Foundation, Chiratae Ventures",2018,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2017-09-25 00:00:00,Series A - Cropin,3.0,96000000.0,BEENEXT,2017,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2016-08-30 00:00:00,Series A - Cropin,1.0,160000000.0,Sophia Investment ApS,2016,16,0,12328,2.14
CropIn,AI,2021-01-06 00:00:00,Series C - Cropin,6.0,1600000000.0,ABC World Asia,2021,2015-08-21 00:00:00,Seed Round - Cropin,2.0,24472000.0,,2015,16,0,12328,2.14
