region,category,parameter,mode,powertrain,year,unit,value
China,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.046
China,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",2800
China,Projection-STEPS,EV stock share,Cars,EV,2020,percent,1.799999952
China,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,13000
China,Projection-STEPS,EV sales share,Cars,EV,2020,percent,5.800000191
China,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,990000
China,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,920000
China,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,3500000
China,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,220000
Europe,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,3900
Europe,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,750000
Europe,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.980000019
Europe,Projection-STEPS,EV sales share,Cars,EV,2020,percent,10
Europe,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,1800000
Europe,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,630000
Europe,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,1400000
Europe,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.030999999
Europe,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",1800
India,Projection-STEPS,Oil displacement Mbd,Cars,EV,2020,Milion barrels per day,0.00013
India,Projection-STEPS,"Oil displacement, million lge",Cars,EV,2020,"Oil displacement, million lge",7.699999809
India,Projection-STEPS,EV sales share,Cars,EV,2020,percent,0.129999995
India,Projection-STEPS,EV stock share,Cars,EV,2020,percent,0.029999999
India,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,3100
India,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,12000
India,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,43
India,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,50
