StartUp,Total Visibility,Average Funds Growth,Viability Quotient,Investment Intensity Index,Investor Confidence Index,Monthly Engagement Rate,Total Monthly Downloads
Ather Energy,5900,84.0691722105509,10.0,444.32941176470587,0.34615384615384615,0.5446999999999993,5786800
Yulu,2891,94.7407116692831,8.166666666666666,78.18333333333334,0.29411764705882354,0.6769999999999997,0
Bolt.Earth,1475,-20.0,4.166666666666667,14.76923076923077,0.23529411764705882,0.0,200300
Ola Electric ,1400,-2.88294759719288,20.0,504.1818181818182,0.26666666666666666,0.14729999999999965,3736400
BluSmart Mobility,1100,124.04099776468198,20.0,26.035714285714285,0.0967741935483871,0.03909999999999994,11169600
Zypp,1000,95.54809941520469,20.0,16.48235294117647,0.15,3.864300000000009,4233500
Ultraviolette Automotive,980,-30.74675324675325,7.0,46.44444444444444,0.4375,0.45820000000000033,0
Oben Electric,650,700.0,8.333333333333334,3.2,0.09523809523809523,0.0,0
Charge+Zone,588,429.57142857142856,9.8,77.0,0.4166666666666667,0.0,46844
Euler Motors,539,181.88312932993784,9.8,27.22962962962963,0.15625,40.856,0
Battery Smart,400,-3.4385964912280684,8.333333333333334,26.863636363636363,0.18518518518518517,0.9139000000000006,115375
Cell Propulsion ,343,2734.6938775510203,7.0,2.9054545454545453,0.08333333333333333,0.6451999999999993,0
RACEnergy,343,2246.1603383458646,9.8,3.7104,0.21052631578947367,0.0,0
Emflux Motors,240,35172.85989043419,2.0,4.3104,0.0,6.180499999999999,0
Kazam,225,472.1775793650794,8.333333333333334,4.58125,0.3333333333333333,0.4698999999999998,39875
MoEVing,144,-14.093264248704664,5.333333333333333,5.477777777777778,0.05263157894736842,0.0,0
Chargeup,128,-25.0,5.333333333333333,5.769230769230769,0.23529411764705882,0.0,0
ElectricPe,99,18.194747474747484,3.0,2.5482758620689654,0.09375,0.9614000000000001,99702
River,99,47.72727272727273,3.0,24.88888888888889,0.25,3.5821,0
Bgauss,70,0.0,0.5,52.0,0.5,0.9394,0
